有一点儿	有一点儿 abit
棕色	棕色 brown
刷子	刷子 brush
画笔	画笔 brush
铲斗	铲斗 bucket
臭虫	臭虫 bug
虫子	虫子 bug
建设	建设 build construction
建立	建立 build establish form found setup
房屋	房屋 building housing
布尔	布尔 Bull
子弹	子弹 bullet
枪弹	枪弹 bullet
公报	公报 bulletin
公告	公告 bulletin
撞击	撞击 bump
担子	担子 burden load
负担	负担 burden
劳累	劳累 burden
埋葬	埋葬 burial bury
燃烧	燃烧 burn
烧伤	烧伤 burn
灼伤	灼伤 burn
烧光	烧光 burndown
炸破	炸破 burst
灌木	灌木 bush
短树	短树 bush
事务	事务 business
商业	商业 business merchant trade trade
生意	生意 business
繁忙	繁忙 busy
但是	但是 but though
可是	可是 but however
除了	除了 but
黄油	黄油 butter
钮扣	钮扣 button
系住	系住 button
购买	购买 buy
在旁	在旁 by by
经过	经过 by by course goby pass passby past
偶然	偶然 byaccident bychance occasionally
汽车	汽车 car car
日间	日间 byday
再会	再会 byebye goodbye
用手	用手 byhand
乘船	乘船 bysea
附近	附近 bythesideof nearby
旁边	旁边 bythesideof side
轮船	轮船 ship ship
餐馆	餐馆 cafe
蛋糕	蛋糕 cake
计算	计算 calculate compute count
称呼	称呼 call
呼唤	呼唤 call
叫喊	叫喊 call cry
电话	电话 call phone phonecall telephone
访问	访问 callat callon payavisit visit
去取	去取 callfor fetch
去接	去接 callfor
号召	号召 callfor
召来	召来 callin
召集	召集 callin
拜访	拜访 callon saw see seen visit
平静	平静 calm
沉着	沉着 calm
镇定	镇定 calm
热卡	热卡 calorie
剑桥	剑桥 Cambridge
骆驼	骆驼 camel
野营	野营 camp camp
运动	运动 campaign game movement sport
可以	可以 can may might OK okay
可能	可能 can may might perhaps possibility
罐头	罐头 can tin
运河	运河 canal
沟渠	沟渠 canal channel
水道	水道 canal channel
癌症	癌症 cancer
蜡烛	蜡烛 candle
手杖	手杖 cane
不能	不能 can't
帽子	帽子 cap hat
盖子	盖子 cap cover lid
首都	首都 capital
省会	省会 capital
船长	船长 captain
捕获	捕获 capture
夺取	夺取 capture seize
卡片	卡片 card
名片	名片 card
保护	保护 care protect
留心	留心 care
谨慎	谨慎 care
照顾	照顾 carefor lookafter takecareof
粗心	粗心 careless
卡尔	卡尔 Carl
颂歌	颂歌 carol
地毯	地毯 carpet
运送	运送 carry carry ship
手提	手提 carry
肩挑	肩挑 carry
刊登	刊登 carry
搬运	搬运 carry move
携带	携带 carry
夺走	夺走 carryoff
开展	开展 carryout
执行	执行 carryout
实现	实现 carryout cometrue realise realize realize
马车	马车 cart
火车	火车 cart train
雕刻	雕刻 carve
患者	患者 case
投掷	投掷 cast shoot throw
撒网	撒网 castanet
城堡	城堡 castle
蓖麻	蓖麻 castor
抓住	抓住 catch catchholdof getholdof grasp hold snatch takeholdof
接住	接住 catch
捉住	捉住 catch
赶上	赶上 catch catchupwith
着凉	着凉 takecold cold
伤风	伤风 takecold catchacold haveacold
感冒	感冒 catchacold cold
着火	着火 catchfire onfire
看到	看到 catchsightof see
发现	发现 catchsightof comeacross discover discovery find found findout
追上	追上 catchupwith
超过	超过 catchupwith over pass
家畜	家畜 cattle
原因	原因 cause reason
起因	起因 cause
山洞	山洞 cave
岩洞	岩洞 cave
顶棚	顶棚 ceiling
庆祝	庆祝 celebrate celebration
公墓	公墓 cemetery
墓地	墓地 cemetery churchyard
公分	公分 centimetre
厘米	厘米 centimetre
中心	中心 centre
中央	中央 centre
世纪	世纪 century
百年	百年 century
仪式	仪式 ceremony
典礼	典礼 ceremony
某种	某种 certain
一定	一定 certainly surely
是的	是的 certainly yes
当然	当然 certainly ofcourse surely
锁链	锁链 chain
椅子	椅子 chair
主席	主席 chairman
议长	议长 chairman
会长	会长 chairman
粉笔	粉笔 chalk
挑战	挑战 challenge
冠军	冠军 champion
机会	机会 chance opportunity
改变	改变 change
兑换	兑换 change
变化	变化 change
零钱	零钱 change
找头	找头 change
用换	用换 changefor
海峡	海峡 channel strait
水渠	水渠 channel
特性	特性 character
性格	性格 character
汉字	汉字 character
字体	字体 character
人物	人物 character
角色	角色 character part role
木炭	木炭 charcoal
价钱	价钱 charge
主管	主管 charge inchargeof
承担	承担 charge
查利	查利 Charlie
魅力	魅力 charm
地图	地图 chart map
图表	图表 chart
聊天	聊天 chat talk
闲谈	闲谈 chat
廉价	廉价 cheap
便宜	便宜 cheap
骗子	骗子 cheat impostor
检查	检查 check examination examine goover inspect inspection review test
核对	核对 check
支票	支票 check cheque check
查明	查明 checkout findout
结帐	结帐 checkout
面颊	面颊 cheek
脸蛋	脸蛋 cheek
欢呼	欢呼 cheer
高呼	高呼 cheer shout
喝采	喝采 cheer clap
乳酪	乳酪 cheese
干酪	干酪 cheese
化学	化学 chemical chemistry
酸雨	酸雨 chemicalrain
樱桃	樱桃 cherry
栗子	栗子 chestnut
咀嚼	咀嚼 chew
小鸡	小鸡 chick chicken
鸡肉	鸡肉 chicken
首长	首长 chief
头子	头子 chief
首领	首领 chief
小孩	小孩 child
儿童	儿童 child
幼年	幼年 childhood
童年	童年 childhood
乐声	乐声 chime
烟筒	烟筒 chimney
烟囱	烟囱 chimney
中国	中国 China
汉语	汉语 Chinese
选择	选择 choice choose select
挑选	挑选 choice choose pick pick select
选举	选举 choose elect vote
教堂	教堂 church
教会	教会 church
纸烟	纸烟 cigarette
香烟	香烟 cigarette
电影	电影 cinema film movie
环绕	环绕 circle surround
圈子	圈子 circle
集团	集团 circle
公民	公民 citizen citizen
居民	居民 citizen
国籍	国籍 citizenship nationality
城市	城市 city
拍手	拍手 clap
鼓掌	鼓掌 clap
年级	年级 class grade
阶级	阶级 class
教室	教室 classroom schoolroom
粘土	粘土 clay
泥土	泥土 clay mud
清除	清除 clear
扫除	扫除 clear docleaning dosomecleaning sweep swept
清洁	清洁 clear
收拾	收拾 clearup
秘书	秘书 clerk secretary
职员	职员 clerk
攀登	攀登 climb
诊所	诊所 clinic
时钟	时钟 clock
关闭	关闭 close shut
壁橱	壁橱 closet
布料	布料 cloth
衣服	衣服 clothes clothing dress garment
社团	社团 club society
煤块	煤块 coal
海岸	海岸 coast
海滨	海滨 coast seaside
外套	外套 coat garment
上衣	上衣 coat jacket robe
公鸡	公鸡 cock
蚕茧	蚕茧 cocoon
代号	代号 code
电码	电码 code
咖啡	咖啡 coffee
硬币	硬币 coin
冷的	冷的 cold
寒冷	寒冷 cold
倒塌	倒塌 collapse falltopieces
崩溃	崩溃 collapse falltopieces
衣领	衣领 collar
收集	收集 collect getin
搜集	搜集 collect
聚集	聚集 collect gather gettogether
学院	学院 college institute
颜色	颜色 colour
梳子	梳子 comb
产生	产生 comeabout comeintobeing givebirthto produce
遇见	遇见 comeacross meet met
回来	回来 comeback getback return
复活	复活 comebacktolife
下来	下来 comedown getoff
喜剧	喜剧 comedy
来自	来自 comefrom from
进入	进入 comein enter entrance entry getin getinto into putinto
进来	进来 comein
形成	形成 comeintobeing
当权	当权 comeintopower
上台	上台 comeintopower
脱落	脱落 comeoff
赶快	赶快 comeon
来吧	来吧 comeon
出来	出来 comeout
共计	共计 cometo
走近	走近 comeup
长出	长出 comeup
发芽	发芽 comeup
抬头	抬头 comeup
上来	上来 comeup
上升	上升 comeup goup rise risen
安慰	安慰 comfort
舒适	舒适 comfort
评论	评论 comment remark
一般	一般 commonly
普通	普通 commonly
通常	通常 commonly usually
交往	交往 communicate company
交际	交际 communicate
同伴	同伴 companion fellow
同事	同事 companion workmate
陪伴	陪伴 company
公司	公司 company firm
商号	商号 company
比较	比较 compare
对照	对照 compare
比赛	比赛 compete competition game match race
竞赛	竞赛 compete competition match race
完成	完成 complete finish
彻底	彻底 complete
创作	创作 compose create
作曲	作曲 compose composition
作文	作文 composition
写作	写作 composition write
同志	同志 comrade
断定	断定 conclude judge
结论	结论 conclusion
推论	推论 conclusion
条件	条件 condition condition
状况	状况 condition state
环境	环境 condition environment surrounding
引导	引导 conduct lead
带领	带领 conduct showaround
指挥	指挥 conductor
导体	导体 conductor
讨论	讨论 conference discuss discussion
祝贺	祝贺 congratulate congratulation greeting
庆贺	庆贺 congratulation
推测	推测 conjecture
连接	连接 connect connectto join link
相通	相通 connect
相连	相连 connectto
涵义	涵义 connotation
征服	征服 conquer
克服	克服 conquer
得胜	得胜 conquer
考虑	考虑 consider think thinkabout thinkof thought
建造	建造 construction putup
查阅	查阅 consult
包含	包含 contain including
包括	包括 contain include including
容器	容器 container
内容	内容 content
大陆	大陆 continent mainland
继续	继续 continue goon goonwithone'swork keepon keepup succeed
连续	连续 continue
相反	相反 contrary
反面	反面 contrary
贡献	贡献 contribution
控制	控制 control
谈话	谈话 conversation haveatalk talk talkabout
交谈	交谈 conversation talk
烹调	烹调 cook
厨师	厨师 cook
食谱	食谱 cookbook
凉快	凉快 cool
合作	合作 cooperation
协作	协作 cooperation
珊瑚	珊瑚 coral
细绳	细绳 cord string
谷物	谷物 corn grain
玉米	玉米 corn
拐角	拐角 corner
角落	角落 corner
纠正	纠正 correct
改正	改正 correction
花费	花费 cost expense spend spendon
村舍	村舍 cottage
小屋	小屋 cottage hut shed
棉花	棉花 cotton
棉线	棉线 cotton
棉布	棉布 cotton
睡椅	睡椅 couch
咳嗽	咳嗽 cough
计数	计数 count
柜台	柜台 counter
国家	国家 country nation state
农村	农村 country countryside
乡下	乡下 country countryside
夫妇	夫妇 couple
勇气	勇气 courage
英勇	英勇 courage
胆量	胆量 courage
胆略	胆略 courage
过程	过程 course during process
道路	道路 course path road way
课程	课程 course
法庭	法庭 court
法院	法院 court
庭院	庭院 courtyard
院子	院子 courtyard yard
封面	封面 cover
遮盖	遮盖 cover
掩盖	掩盖 cover
母牛	母牛 cow
奶牛	奶牛 cow
工匠	工匠 craftsman
名匠	名匠 craftsman
爬行	爬行 crawl
疯狂	疯狂 crazy
乳脂	乳脂 cream
奶油	奶油 cream
创造	创造 create invent invention
造成	造成 create
脆的	脆的 crisp
批评	批评 criticize
鳄鱼	鳄鱼 crocodile
庄稼	庄稼 crop
收成	收成 crop
收获	收获 crop getin harvest
越过	越过 cross over
乌鸦	乌鸦 crow
人群	人群 crowd
拥挤	拥挤 crowd crowded
挤满	挤满 crowd
残忍	残忍 cruelty
残酷	残酷 cruelty
压碎	压碎 crush
杯子	杯子 cup
治疗	治疗 cure treat treatment
痊愈	痊愈 cure
居里	居里 Curie
卷毛	卷毛 curl
卷发	卷发 curl
卷曲	卷曲 curl
垫子	垫子 cushion mat
习惯	习惯 custom habit
风俗	风俗 custom
习俗	习俗 custom
顾客	顾客 customer
主顾	主顾 customer
砍掉	砍掉 cutaway
剪掉	剪掉 cutaway
切断	切断 cutoff shutoff
剪断	剪断 cutthrough
凿穿	凿穿 cutthrough
切碎	切碎 cutup
爸爸	爸爸 dad
爹爹	爹爹 dad
天天	天天 daily
日报	日报 daily
水坝	水坝 dam
水闸	水闸 dam
毁坏	毁坏 damage destroy ruin
损害	损害 damage doharmto harm injure
潮湿	潮湿 damp
跳舞	跳舞 dance
危险	危险 danger
敢于	敢于 dare
黑暗	黑暗 dark darkness
暗处	暗处 dark
黑色	黑色 dark
猛冲	猛冲 dash
短跑	短跑 dash
日期	日期 date
始于	始于 datefrom
女儿	女儿 daughter
儿媳	儿媳 daughterinlaw
戴维	戴维 David
黎明	黎明 dawn daylight
拂晓	拂晓 dawn
日光	日光 daylight sunshine
白天	白天 daylight daytime
白昼	白昼 daylight daytime
死的	死的 dead
聋的	聋的 deaf
分配	分配 deal divideup
处理	处理 deal dealwith getridof manage todealwith
应付	应付 dealwith
涉及	涉及 dealwith refer referto relate
债务	债务 debt
欠款	欠款 debt
决心	决心 decision determination determine will
甲板	甲板 deck
舱面	舱面 deck
声明	声明 declare manifesto statement
断言	断言 declare
事迹	事迹 deed
深切	深切 deep
击败	击败 defeat
失败	失败 defeat fail failure
挫折	挫折 defeat
防御	防御 defence
保卫	保卫 defence defend
防备	防备 defence
防守	防守 defend
定义	定义 definition
解说	解说 definition
度数	度数 degree
学位	学位 degree
程度	程度 degree
推迟	推迟 delay
耽搁	耽搁 delay
妙的	妙的 delicious
快乐	快乐 delight gay merry
递送	递送 deliver
交付	交付 deliver hand
发言	发言 deliver
德拉	德拉 Della
需要	需要 demand inneedof must need require requirement want
需求	需求 demand
兽穴	兽穴 den
意义	意义 denotation meaning sense
车间	车间 department workshop
依靠	依靠 depend dependon
依赖	依赖 dependon
信赖	信赖 dependon
深度	深度 depth
描写	描写 describe description portrait
描述	描述 describe
沙漠	沙漠 desert
荒地	荒地 desert
舍弃	舍弃 desert
遗弃	遗弃 desert
图案	图案 design
花样	花样 design
设计	设计 design
绘制	绘制 design draw
期望	期望 desire expect
课桌	课桌 desk
书桌	书桌 desk
绝望	绝望 despair
失望	失望 despair disappointment
破坏	破坏 destroy
侦探	侦探 detective
发展	发展 develop development evolution
开发	开发 develop development exploit
专心	专心 devote
献身	献身 devote
拨打	拨打 dial
对话	对话 dialog dialogue
对白	对白 dialog dialogue
钻石	钻石 diamond
日记	日记 diary
听写	听写 dictation
词典	词典 dictionary
辞典	辞典 dictionary
枯萎	枯萎 die
死于	死于 diefrom dieof
消灭	消灭 dieout
死绝	死绝 dieout
消失	消失 dieout disappear
灭亡	灭亡 dieout
饮食	饮食 diet
不同	不同 difference
难的	难的 difficult
困难	困难 difficulty trouble
费力	费力 difficulty
难事	难事 difficulty
散开	散开 diffuse
消化	消化 digest
领会	领会 digest grasp see understanding
文摘	文摘 digest
餐室	餐室 diningroom
食堂	食堂 diningroom
正餐	正餐 dinner
宴会	宴会 dinner
午饭	午饭 dinner lunch
晚饭	晚饭 dinner
浸入	浸入 dipinto
浏览	浏览 dipinto gothrough lookthrough
直接	直接 direct
指导	指导 direct direction guide
导演	导演 direct director
方向	方向 direction
方位	方位 direction
厂长	厂长 director
主任	主任 director
姓名	姓名 directory name
污物	污物 dirt
灰尘	灰尘 dirt dust
脏物	脏物 dirt
弄脏	弄脏 dirty pollute
残疾	残疾 disability
无能	无能 disability
弱点	弱点 disadvantage
消散	消散 disappear
沮丧	沮丧 disappointment
灾难	灾难 disaster
祸患	祸患 disaster
纪律	纪律 discipline
揭开	揭开 disclose
揭发	揭发 disclose
揭露	揭露 disclose expose
不安	不安 discomfort unrest
看出	看出 discover
暴露	暴露 discover
歧视	歧视 discrimination
议论	议论 discuss discussion remark
疾病	疾病 disease illness sickness trouble
磁盘	磁盘 dish
厌恶	厌恶 dislike horror
开除	开除 dismiss
距离	距离 distance
远处	远处 distance inthedistance
远的	远的 distant far
跳水	跳水 dive
潜水	潜水 dive
分开	分开 divide separate
分裂	分裂 divide split
划分	划分 divide
医生	医生 doctor
博士	博士 doctor
伤害	伤害 doharmto harm hurt injure injury
海豚	海豚 dolphin
尽力	尽力 doone'sbest
通道	通道 door opening passage
门铃	门铃 doorbell
门口	门口 doorway gateway
做饭	做饭 dosomecooking
小点	小点 dot
圆点	圆点 dot
点缀	点缀 dot
生效	生效 dothedeed
两倍	两倍 double twice
怀疑	怀疑 doubt
疑问	疑问 doubt
疑惑	疑惑 doubt
多佛	多佛 Dover
对付	对付 dowith manage todealwith
处置	处置 dowith
犯罪	犯罪 dowrong
十二	十二 dozen twelve
一打	一打 dozen
几十	几十 dozensof
绘画	绘画 draw drawing
引出	引出 draw
抽屉	抽屉 drawer
收网	收网 drawin
图画	图画 drawing picture
梦想	梦想 dream dreamof
做梦	做梦 dream
向往	向往 dreamof
渴望	渴望 dreamof long
服装	服装 dress
女装	女装 dress
穿着	穿着 dress haveon havesthon
化装	化装 dressup
操练	操练 drill
掉下	掉下 drill drop
喝酒	喝酒 drink
漏下	漏下 drip
滴下	滴下 drip drop
驱赶	驱赶 drive
驾驶	驾驶 drive
赶走	赶走 driveoff
司机	司机 driver
垂下	垂下 droop hang
落下	落下 drop fall
点滴	点滴 drop
溺死	溺死 drown
淹没	淹没 drown flood
药物	药物 drug
醉的	醉的 drunk
干燥	干燥 dry
变干	变干 dry
弄干	弄干 dry
干涸	干涸 dryup
公爵	公爵 duke
期间	期间 during period
尘土	尘土 dust
义务	义务 duty
职责	职责 duty office
责任	责任 duty
染色	染色 dye
炸药	炸药 dynamite
王朝	王朝 dynasty
朝代	朝代 dynasty
每人	每人 each everybody everyone everyone
每个	每个 each
每件	每件 each
互相	互相 eachother oneanother
彼此	彼此 eachother oneanother
耳朵	耳朵 ear
初期	初期 early
挣得	挣得 earn gain
赚得	赚得 earn
谋生	谋生 earnone'sliving living makealiving
地球	地球 earth globe
地震	地震 earthquake
安逸	安逸 ease
东方	东方 east
容易	容易 easy
吃完	吃完 eatup
吃光	吃光 eatup
响应	响应 echo
版本	版本 edition
编辑	编辑 editor
效果	效果 effect result
作用	作用 effect
努力	努力 effort try
例如	例如 eg forexample suchas
埃及	埃及 Egypt
十八	十八 eighteen
或者	或者 either eitheror or
要么	要么 either
长者	长者 elder
前辈	前辈 elder
推选	推选 elect
电的	电的 electric electrical
电流	电流 electricity
电学	电学 electricity
元素	元素 element
要素	要素 element
成分	成分 element
大象	大象 elephant
十一	十一 eleven
感情	感情 emotion feeling
情绪	情绪 emotion
激动	激动 emotion
皇帝	皇帝 emperor
强调	强调 emphasis
重点	重点 emphasis
帝国	帝国 empire
雇用	雇用 employ hire
倒空	倒空 empty
空的	空的 empty hollow
鼓励	鼓励 encourage encouragement
末尾	末尾 end
终点	终点 end
告终	告终 endup
敌人	敌人 enemy
敌军	敌军 enemy
精力	精力 energy
活力	活力 energy
能量	能量 energy
从事	从事 engage takeup upto
约定	约定 engage
引擎	引擎 engine
机车	机车 engine
技师	技师 engineer
英语	英语 English
享乐	享乐 enjoyment
扩大	扩大 enlarge
加入	加入 enter join joinin
入口	入口 entrance gateway
入场	入场 entrance
信封	信封 envelope
纸袋	纸袋 envelope
封皮	封皮 envelope
嫉妒	嫉妒 envy
平等	平等 equality
赤道	赤道 equator
装备	装备 equip equipment furnish
配备	配备 equip
设备	设备 equipment fitting service set
逃跑	逃跑 escape runaway
逃脱	逃脱 escape runaway
特别	特别 especially particularly
尤其	尤其 especially particularly
散文	散文 essay
欧洲	欧洲 Europe
甚至	甚至 even
即使	即使 even evenif though
纵然	纵然 evenif though
傍晚	傍晚 evening
晚会	晚会 evening
大事	大事 event
每一	每一 every per
人人	人人 everybody everyone everyone
事事	事事 everything
邪恶	邪恶 evil
罪恶	罪恶 evil
演变	演变 evolution
进化	进化 evolution
考试	考试 examination examination test
测试	测试 examination
诊察	诊察 examine
例子	例子 examine
实例	实例 examine
榜样	榜样 examine
藉口	藉口 excuse
托辞	托辞 excuse
原谅	原谅 excuse forgive pardon
宽恕	宽恕 excuse forgive mercy pardon
借口	借口 excuse
辩解	辩解 excuse
锻炼	锻炼 exercise sport
做操	做操 exercise
练习	练习 exercise practice practise
习题	习题 exercise problem
存在	存在 exist existence lie occur
生存	生存 exist existence live survival
出口	出口 exit
预期	预期 expect
料想	料想 expect suppose
盼望	盼望 expect lookforwardto
消费	消费 expense
支出	支出 expense
经验	经验 experience
体验	体验 experience
经历	经历 experience
实验	实验 experiment
试验	试验 experiment haveatest puttothetest test trial tryout
专家	专家 expert
能手	能手 expert
解释	解释 explain explanation
说明	说明 explain explanation instruction setout
开采	开采 exploit
表示	表示 express expression
表达	表达 express expression
词句	词句 expression
表情	表情 expression
说法	说法 expression
延伸	延伸 extend
伸展	伸展 extend spread
极其	极其 extremely
眼睛	眼睛 eye
眉毛	眉毛 eyebrow
视力	视力 eyesight sight
面孔	面孔 face
面对	面对 face
面向	面向 face
正视	正视 face
当面	当面 facetoface
事实	事实 fact
实际	实际 fact
工厂	工厂 factory work
退去	退去 fade
相当	相当 fairly rather
还算	还算 fairly
公平	公平 fairness
公正	公正 fairness judgement justice
仙女	仙女 fairy
童话	童话 fairytales
下降	下降 fall falloff
倒下	倒下 fall fallover
跌倒	跌倒 fall fallover
睡着	睡着 fallasleep gotosleep
入睡	入睡 fallasleep gotosleep
患病	患病 fallill
爱上	爱上 fallinlovewith
跌落	跌落 falloff
家庭	家庭 family
家族	家族 family race
子女	子女 family
扇子	扇子 fan
风扇	风扇 fan
球迷	球迷 fan
远地	远地 far
遥远	遥远 faraway
很远	很远 faraway
农场	农场 farm
农庄	农庄 farm
农夫	农夫 farmer
农舍	农舍 farmhouse
农事	农事 farming
耕作	耕作 farming
农田	农田 farmland
较远	较远 farther
更远	更远 farther
迷惑	迷惑 fascination
快的	快的 fast quick rapid swift
扎牢	扎牢 fasten
扣住	扣住 fasten
肥胖	肥胖 fat
脂肪	脂肪 fat
油脂	油脂 fat
命运	命运 fate
父亲	父亲 father parent
缺点	缺点 fault shortcoming
错误	错误 fault mistake
过去	过去 fault goby inthepast past
毛病	毛病 fault thematter
恩惠	恩惠 favour favor
好意	好意 favour favor
传真	传真 fax
恐惧	恐惧 fear
羽毛	羽毛 feather
二月	二月 February
喂养	喂养 feed
饲养	饲养 feed raise
感觉	感觉 feel feeling sense
感知	感知 feel
触角	触角 feeler
家伙	家伙 fellow
伙伴	伙伴 fellow
篱笆	篱笆 fence
肥料	肥料 fertilizer
去拿	去拿 fetch
发烧	发烧 fever
发热	发热 fever
不多	不多 few
田地	田地 field
田场	田场 field
牧场	牧场 field grassland
场地	场地 field
领域	领域 field
田鼠	田鼠 fieldmouse
十五	十五 fifteen
第五	第五 fifth
五十	五十 fifty
打仗	打仗 fight
打架	打架 fight
斗争	斗争 fight struggle
还击	还击 fightback
战士	战士 fighter soldier
数字	数字 figure number
塑像	塑像 figure
画像	画像 figure portrait
充满	充满 fill fullof
装满	装满 fill
填充	填充 fill fillin
填空	填空 fillin
影片	影片 film picture
胶卷	胶卷 film
最终	最终 finally
末了	末了 finally
找到	找到 find found
发觉	发觉 find found sense
感到	感到 find found
查找	查找 find found
找出	找出 findout
查出	查出 findout
了解	了解 findout knew know known see
很好	很好 fine
细的	细的 fine
细雨	细雨 finerain
手指	手指 finger
开火	开火 fire
射击	射击 fire fire shoot shooting shot
解雇	解雇 fire fire
火炉	火炉 fire stove
火灾	火灾 fire
开头	开头 fire
火警	火警 firealarm
木柴	木柴 firewood wood
柴火	柴火 firewood
企业	企业 firm
第一	第一 first
首次	首次 first
最初	最初 first
急救	急救 firstaid
鱼肉	鱼肉 fish
捕鱼	捕鱼 fish
钓鱼	钓鱼 fish gofishing shopping
渔夫	渔夫 fisherman
渔网	渔网 fishingnet
拳头	拳头 fist
合身	合身 fit
符合	符合 fit
适应	适应 fitinwith
装置	装置 fitting service set
修理	修理 fix mend repair
安装	安装 fix
确定	确定 fix makesureof
安顿	安顿 fixup
注视	注视 fixupon regard watch
凝视	凝视 fixupon stare stareat
电讯	电讯 flash
闪光	闪光 flash
闪亮	闪亮 flash
平的	平的 flat
阿谀	阿谀 flatter
奉承	奉承 flatter
肉体	肉体 flesh
航班	航班 flight
飞行	飞行 flight fly
漂浮	漂浮 float
浮动	浮动 float
地板	地板 floor
楼层	楼层 floor
面粉	面粉 flour
流动	流动 flow
空运	空运 fly
折迭	折迭 fold
合拢	合拢 fold
人们	人们 folk people
家属	家属 folk
跟随	跟随 follow
接着	接着 follow
遵循	遵循 follow
听从	听从 follow obey
信徒	信徒 follower
食物	食物 food
食品	食品 food grocery
愚弄	愚弄 fool
欺骗	欺骗 fool
蠢人	蠢人 fool
傻子	傻子 fool idiot
愚蠢	愚蠢 foolish
英尺	英尺 foot
足球	足球 football
脚印	脚印 footmark footprint
足迹	足迹 footmark footprint track
暂时	暂时 forawhile
一刻	一刻 forawhile
不许	不许 forbid
强迫	强迫 force oblige
迫使	迫使 force oblige
前额	前额 forehead
前腿	前腿 foreleg
预见	预见 foresee
预知	预知 foresee
森林	森林 forest wood
免费	免费 forfree freeofcharge
忘记	忘记 forget
忘掉	忘掉 forget
餐叉	餐叉 fork
岔口	岔口 fork
形状	形状 form shape
形式	形式 form
组织	组织 form organise organization organize
第四	第四 forth fourth
幸亏	幸亏 fortunately thanksto
财产	财产 fortune possession wealth
运气	运气 fortune luck
四十	四十 forty
将来	将来 forward future infuture inthefuture
今后	今后 forward fromnowon inthefuture
成立	成立 found
地基	地基 foundation
喷泉	喷泉 fountain
十四	十四 fourteen
狐狸	狐狸 fox
法郎	法郎 franc
法国	法国 France
自由	自由 freedom
结冰	结冰 freeze froze frozen
凝固	凝固 freeze
冰点	冰点 freezing
极冷	极冷 freezing
冻结	冻结 freezing
法语	法语 French
淡的	淡的 fresh
冰箱	冰箱 fridge
朋友	朋友 friend
友谊	友谊 friendship
友好	友好 friendship
惊恐	惊恐 frighten
吓唬	吓唬 frighten
从起	从起 from
有时	有时 fromtimetotime nowandthen onceinawhile sometimes
不时	不时 fromtimetotime nowandthen
间或	间或 fromtimetotime onceinawhile
时常	时常 fromtimetotime
从到	从到 fromto
前面	前面 front
前线	前线 front
水果	水果 fruit
果实	果实 fruit
油煎	油煎 fry
油炒	油炒 fry
油炸	油炸 fry
煎锅	煎锅 fryingpan
燃料	燃料 fuel
满的	满的 full
玩笑	玩笑 fun joke
滑稽	滑稽 funny
古怪	古怪 funny
毛皮	毛皮 fur
皮子	皮子 fur
布置	布置 furnish
家具	家具 furniture
进修	进修 furthereducation
深造	深造 furthereducation
未来	未来 future
赢得	赢得 gain win
获得	获得 gain get obtain
游戏	游戏 game
空隙	空隙 gap
缺口	缺口 gap
差距	差距 gap
花园	花园 garden
果园	果园 garden
菜园	菜园 garden
园艺	园艺 gardening
煤气	煤气 gas
气体	气体 gas
喘息	喘息 gasp
喘气	喘气 gasp pant
屏息	屏息 gaspat holdone'sbreath
大门	大门 gate
关口	关口 gateway
采集	采集 gather
愉快	愉快 gay happiness merry pleasure
将军	将军 general
大意	大意 generalidea
一代	一代 generation
妖怪	妖怪 genie spirit
天才	天才 genius
绅士	绅士 gentleman
先生	先生 gentleman mister monsieur Mr sir
地理	地理 geography
细菌	细菌 germ
德语	德语 German
德国	德国 Germany
姿势	姿势 gesture
手势	手势 gesture
具有	具有 get with
得到	得到 get obtain receive
收到	收到 get receive
进展	进展 getalong getalongwith progress
返回	返回 getback
取回	取回 getback
接近	接近 getcloseto
降下	降下 getdown lower
下车	下车 getdown getoff
收割	收割 getin harvest
插话	插话 getinaword
结婚	结婚 getmarried marriage marry wedding
脱下	脱下 getoff takeoff
上车	上车 geton
出去	出去 getout
除掉	除掉 getridof
去掉	去掉 getridof getridof remove rid
通过	通过 getthrough go gothrough pass through
打通	打通 getthrough
联欢	联欢 gettogether
认识	认识 gettoknow knew know known recognize
起床	起床 getup rise risen
巨人	巨人 giant
赠品	赠品 gift
礼物	礼物 gift present
礼品	礼品 gift
天资	天资 gift
女孩	女孩 girl
递给	递给 give
给予	给予 give
付出	付出 give
归还	归还 giveback return
送回	送回 giveback return
让步	让步 givein
发出	发出 giveoff letout sendout
发光	发光 giveoff glow shine
用完	用完 giveout runoutof
耗尽	耗尽 giveout
分发	分发 giveout handout
放弃	放弃 giveup
冰河	冰河 glacier
冰川	冰川 glacier
一瞥	一瞥 glance
瞪眼	瞪眼 glare
玻璃	玻璃 glass
眼镜	眼镜 glass spectacles
温室	温室 glasshouse
暖房	暖房 glasshouse
手套	手套 glove
灼热	灼热 glow
胶水	胶水 glue
用吧	用吧 goahead
干吧	干吧 goahead
山羊	山羊 goat
走开	走开 goaway gooff
回去	回去 goback
变坏	变坏 gobad
坏掉	坏掉 gobad
上帝	上帝 god
下去	下去 godown
天哪	天哪 Godsaveme Goodheavens
回家	回家 gohome home
挨饿	挨饿 gohungry starve
黄金	黄金 gold
金色	金色 gold
金子	金子 gold
金鱼	金鱼 goldfish
良好	良好 good
再见	再见 goodbye
你好	你好 Goodmorning hello
商品	商品 goods
货物	货物 goods load
熄灭	熄灭 goout
复习	复习 goover goover review revision
滑冰	滑冰 goskating skate skating swimming
